"","NasisSiteName","upedonid","hzdept","hzdepb","hzname","texture","claytotest","phfield","mxhue","mxvalue","mxchroma","taxonname","dspplotid","earthcovkind1","earthcovkind2"
"93","MLRA12_Amherst","S2021MI065001",59,80,"Bt","CL",32,7.9,"10YR",4,3,"Crosier","C-CT-3","Crop cover","Row crop"
"94","MLRA12_Amherst","S2021MI065001",80,100,"Cd1","L",25,7.7,"10YR",5,3,"Crosier","C-CT-3","Crop cover","Row crop"
"95","MLRA12_Amherst","S2021MI065001",100,150,"Cd2","L",25,8.3,"10YR",5,3,"Crosier","C-CT-3","Crop cover","Row crop"
"96","MLRA12_Amherst","S2021MI065001",150,228,"Cd3","L",25,8.3,"10YR",5,3,"Crosier","C-CT-3","Crop cover","Row crop"
"97","MLRA12_Amherst","S2021MI065001A",0,22,"Ap1","L",22,7.8,"10YR",3,2,"Conover","C-CT-3","Crop cover","Row crop"
"98","MLRA12_Amherst","S2021MI065001A",22,33,"Ap2","L",24,7.8,"10YR",3,2,"Conover","C-CT-3","Crop cover","Row crop"
"99","MLRA12_Amherst","S2021MI065001A",33,55,"Bt","CL",35,8,"10YR",5,3,"Conover","C-CT-3","Crop cover","Row crop"
"100","MLRA12_Amherst","S2021MI065001A",55,60,"BCt","CL",32,NA,"10YR",4,3,"Conover","C-CT-3","Crop cover","Row crop"
"101","MLRA12_Amherst","S2021MI065001B",0,20,"Ap1","L",24,7.8,"10YR",4,2,"Conover","C-CT-3","Crop cover","Row crop"
"102","MLRA12_Amherst","S2021MI065001B",20,31,"Ap2","L",24,7.6,"10YR",4,2,"Conover","C-CT-3","Crop cover","Row crop"
"103","MLRA12_Amherst","S2021MI065001B",31,57,"Bt","CL",30,7.8,"10YR",4,4,"Conover","C-CT-3","Crop cover","Row crop"
"104","MLRA12_Amherst","S2021MI065001B",57,62,"Cd","L",24,8,"10YR",5,3,"Conover","C-CT-3","Crop cover","Row crop"
"105","MLRA12_Amherst","S2021MI155001",0,24,"Ap","L",18,6.6,"10YR",4,2,"Conover","C-CT-2","Crop cover","Row crop"
"106","MLRA12_Amherst","S2021MI155001",24,40,"Bt1","L",23,6.4,"10YR",5,4,"Conover","C-CT-2","Crop cover","Row crop"
"107","MLRA12_Amherst","S2021MI155001",40,65,"Bt2","CL",28,6.4,"10YR",5,4,"Conover","C-CT-2","Crop cover","Row crop"
"108","MLRA12_Amherst","S2021MI155001",65,110,"Bt3","CL",30,7.2,"10YR",5,3,"Conover","C-CT-2","Crop cover","Row crop"
"109","MLRA12_Amherst","S2021MI155001",110,126,"BCt","CL",28,8,"10YR",4,4,"Conover","C-CT-2","Crop cover","Row crop"
"110","MLRA12_Amherst","S2021MI155001",126,175,"Cd","L",20,8.4,"10YR",5,3,"Conover","C-CT-2","Crop cover","Row crop"
"111","MLRA12_Amherst","S2021MI155001",175,210,"C","L",20,7.8,"10YR",5,4,"Conover","C-CT-2","Crop cover","Row crop"
"112","MLRA12_Amherst","S2021MI155001A",0,28,"Ap","L",24,7.2,"10YR",4,2,"Conover","C-CT-2","Crop cover","Row crop"
"113","MLRA12_Amherst","S2021MI155001A",28,43,"Bt1","SCL",29,7.4,"10YR",5,3,"Conover","C-CT-2","Crop cover","Row crop"
"114","MLRA12_Amherst","S2021MI155001A",43,60,"Bt2","CL",32,7.6,"10YR",4,3,"Conover","C-CT-2","Crop cover","Row crop"
"115","MLRA12_Amherst","S2021MI155001B",0,20,"Ap","FSL",15,7,"10YR",3,3,"Conover","C-CT-2","Crop cover","Row crop"
"116","MLRA12_Amherst","S2021MI155001B",20,35,"Bt1","L",23,6.8,"10YR",5,3,"Conover","C-CT-2","Crop cover","Row crop"
"117","MLRA12_Amherst","S2021MI155001B",35,60,"Bt2","L",26,6.8,"10YR",4,4,"Conover","C-CT-2","Crop cover","Row crop"
