pantone,hex
5477-c,#3e5d58
5467-c,#18332f
621-c,#d1e0d7
622-c,#b7cdc2
623-c,#9ab9ad
624-c,#789f90
625-c,#507f70
626-c,#285c4d
627-c,#13322b
331-c,#a7e6d7
332-c,#8ce2d0
333-c,#3cdbc0
334-c,#009775
335-c,#007b5f
336-c,#00664f
337-c,#8fd6bd
338-c,#6eceb2
339-c,#00b388
340-c,#00965e
341-c,#007a53
342-c,#006747
343-c,#115740
7723-c,#50a684
7724-c,#00966c
7725-c,#008755
7726-c,#007b4b
7727-c,#006f44
7728-c,#006845
7729-c,#005844
3375-c,#7ae1bf
3385-c,#47d7ac
3395-c,#00c389
3405-c,#00af66
3415-c,#007749
3425-c,#006341
3435-c,#154734
344-c,#a0dab3
345-c,#91d6ac
346-c,#71cc98
347-c,#009a44
348-c,#00843d
349-c,#046a38
350-c,#2c5234
351-c,#a2e4b8
352-c,#8fe2b0
353-c,#80e0a7
354-c,#00b140
355-c,#009639
356-c,#007a33
357-c,#215732
7478-c,#9be3bf
7479-c,#26d07c
7480-c,#00bf6f
7481-c,#00b74f
7482-c,#009f4d
7483-c,#275d38
7484-c,#00573f
7730-c,#4b9560
7731-c,#228848
7732-c,#007a3e
7733-c,#007041
7734-c,#286140
7735-c,#36573b
7736-c,#395542
7737-c,#6ba539
7738-c,#48a23f
7739-c,#319b42
7740-c,#3a913f
7741-c,#44883e
7742-c,#4a773c
7743-c,#44693d
358-c,#addc91
359-c,#a1d884
360-c,#6cc24a
361-c,#43b02a
362-c,#509e2f
363-c,#4c8c2b
364-c,#4a7729
7485-c,#d0debb
7486-c,#bce194
7487-c,#8edd65
7488-c,#78d64b
7489-c,#74aa50
7490-c,#719949
7491-c,#79863c
365-c,#c2e189
366-c,#b7dd79
367-c,#a4d65e
368-c,#78be20
369-c,#64a70b
370-c,#658d1b
371-c,#546223
372-c,#d4eb8e
373-c,#cdea80
374-c,#c5e86c
375-c,#97d700
376-c,#84bd00
377-c,#7a9a01
378-c,#59621d
580-c,#c4d6a4
579-c,#bcd19b
578-c,#b7ce95
577-c,#a9c47f
576-c,#789d4a
575-c,#67823a
574-c,#4e5b31
5807-c,#d0d1ab
5797-c,#c6c89b
5787-c,#babd8b
5777-c,#a2a569
5767-c,#8a8d4a
5757-c,#6d712e
5747-c,#3d441e
5875-c,#d2ce9e
5865-c,#cbc793
5855-c,#c0bb87
5845-c,#afa96e
5835-c,#a09958
5825-c,#89813d
5815-c,#555025
5803-c,#c3c6a8
5793-c,#b3b995
5783-c,#a3aa83
5773-c,#899064
5763-c,#737b4c
5753-c,#5e6738
5743-c,#3e4827
7492-c,#bfcc80
7493-c,#bbc592
7494-c,#9caf88
7495-c,#8f993e
7496-c,#76881d
7497-c,#7a7256
7498-c,#5b6236
7744-c,#babc16
7745-c,#abad23
7746-c,#999b30
7747-c,#888d30
7748-c,#7c8034
7749-c,#727337
7750-c,#656635
379-c,#e2e868
380-c,#dbe442
381-c,#cedc00
382-c,#c4d600
383-c,#a8ad00
384-c,#949300
385-c,#787121
386-c,#e9ec6b
387-c,#e3e935
388-c,#e0e721
389-c,#d0df00
390-c,#b5bd00
391-c,#9a9500
392-c,#827a04
587-c,#e3e48d
586-c,#e0e27c
585-c,#dbde70
584-c,#d2d755
583-c,#b7bf10
582-c,#8e8c13
581-c,#625d20
393-c,#f0ec74
394-c,#ede939
395-c,#ece81a
396-c,#e1e000
397-c,#bfb800
398-c,#ada400
399-c,#a09200
3935-c,#f3ea5d
3945-c,#f3e500
3955-c,#efdf00
3965-c,#eedc00
3975-c,#bba600
3985-c,#9a8700
3995-c,#685c20
600-c,#f1eb9c
601-c,#f0e991
602-c,#f0e87b
603-c,#ede04b
604-c,#eada24
605-c,#e1cd00
606-c,#cfb500
607-c,#ebe49a
608-c,#e9e186
609-c,#e6de77
610-c,#e1d555
611-c,#d7c826
612-c,#c4b000
613-c,#b39b00
461-c,#e9df97
460-c,#e4d77e
459-c,#decd63
458-c,#d9c756
457-c,#b89d18
456-c,#a28e2a
455-c,#695b24
614-c,#dcd59a
615-c,#d6cf8d
616-c,#d0c883
617-c,#c0b561
618-c,#ac9f3c
619-c,#9f912a
620-c,#8a7b19
7751-c,#cab64b
7752-c,#cfb023
7753-c,#c1a01e
7754-c,#a08629
7755-c,#897630
7756-c,#736635
7757-c,#675e33
7758-c,#d4c304
7759-c,#c4b200
7760-c,#91852c
7761-c,#747136
7762-c,#5d6439
7763-c,#585c3b
7764-c,#535435
7765-c,#bbb323
7766-c,#b4a91f
7767-c,#aa9d2e
7768-c,#8f7e35
7769-c,#716135
7770-c,#635939
7771-c,#4e4934
4545-c,#d5cb9f
4535-c,#cfc493
4525-c,#c5b783
4515-c,#b3a369
4505-c,#998542
4495-c,#8c7732
4485-c,#614f25
454-c,#cac7a7
453-c,#bfbb98
452-c,#b0aa7e
451-c,#9b945f
450-c,#594a25
449-c,#524727
448-c,#4a412a
7499-c,#f1e6b2
7500-c,#dfd1a7
7501-c,#d9c89e
7502-c,#ceb888
7503-c,#a89968
7504-c,#94795d
7505-c,#816040
468-c,#ddcba4
467-c,#d3bc8d
466-c,#c6aa76
465-c,#b9975b
464-c,#8b5b29
463-c,#744f28
462-c,#5c462b
7506-c,#efdbb2
7507-c,#fcd299
7508-c,#e1b87f
7509-c,#d6a461
7510-c,#c6893f
7511-c,#b77729
7512-c,#a6631b
719-c,#edc8a3
720-c,#e7b78a
721-c,#dda46f
722-c,#c88242
723-c,#b36924
724-c,#934d11
725-c,#7d3f16
475-c,#f3cfb3
474-c,#f1c6a7
473-c,#f0bf9b
472-c,#e59e6d
471-c,#b86125
470-c,#a45a2a
469-c,#693f23
726-c,#e0c09f
727-c,#d9b48f
728-c,#cda077
729-c,#b58150
730-c,#9e652e
731-c,#774212
732-c,#623412
4685-c,#e0c6ad
4675-c,#dcbfa6
4665-c,#cda788
4655-c,#bf9474
4645-c,#ad7c59
4635-c,#946037
4625-c,#4f2c1d
7513-c,#e1b7a7
7514-c,#d5a286
7515-c,#c58b68
7516-c,#99552b
7517-c,#85431e
7518-c,#6d4f47
7519-c,#5e4b3c
4755-c,#d7c4b7
4745-c,#cdb5a7
4735-c,#c0a392
4725-c,#ae8a79
4715-c,#956c58
4705-c,#7c4d3a
4695-c,#5b3427
482-c,#dbc8b6
481-c,#d3bba8
480-c,#c6a992
479-c,#aa8066
478-c,#703f2a
477-c,#623b2a
476-c,#4e3629
7527-c,#d6d2c4
7528-c,#c5b9ac
7529-c,#b7a99a
7530-c,#a39382
7531-c,#7a6855
7532-c,#63513d
7533-c,#473729
7534-c,#d1ccbd
7535-c,#b7b09c
7536-c,#a69f88
7537-c,#a7aca2
7538-c,#949a90
7539-c,#8e9089
7540-c,#4b4f54
427-c,#d0d3d4
428-c,#c1c6c8
429-c,#a2aaad
430-c,#7c878e
431-c,#5b6770
432-c,#333f48
433-c,#1d252d
420-c,#c7c9c7
421-c,#b2b4b2
422-c,#9ea2a2
423-c,#898d8d
424-c,#707372
425-c,#54585a
426-c,#25282a
441-c,#bec6c4
442-c,#a2acab
443-c,#919d9d
444-c,#717c7d
445-c,#505759
446-c,#3f4444
447-c,#373a36
413-c,#babbb1
414-c,#a8a99e
415-c,#919388
416-c,#7e7f74
417-c,#65665c
418-c,#51534a
419-c,#212322
400-c,#c4bfb6
401-c,#afa9a0
402-c,#9d968d
403-c,#8c857b
404-c,#776e64
405-c,#696158
406-c,#c4bcb7
407-c,#b2a8a2
408-c,#978c87
409-c,#857874
410-c,#746661
411-c,#5e514d
412-c,#382f2d
434-c,#d0c4c5
435-c,#c1b2b6
436-c,#ab989d
437-c,#7b6469
438-c,#584446
439-c,#453536
440-c,#382e2c
warm-gray-1-c,#d7d2cb
warm-gray-2-c,#cbc4bc
warm-gray-3-c,#bfb8af
warm-gray-4-c,#b6ada5
warm-gray-5-c,#aca39a
warm-gray-6-c,#a59c94
warm-gray-7-c,#968c83
warm-gray-8-c,#8c8279
warm-gray-9-c,#83786f
warm-gray-10-c,#796e65
warm-gray-11-c,#6e6259
cool-gray-1-c,#d9d9d6
cool-gray-2-c,#d0d0ce
cool-gray-3-c,#c8c9c7
cool-gray-4-c,#bbbcbc
cool-gray-5-c,#b1b3b3
cool-gray-6-c,#a7a8aa
cool-gray-7-c,#97999b
cool-gray-8-c,#888b8d
cool-gray-9-c,#75787b
cool-gray-10-c,#63666a
cool-gray-11-c,#53565a
black-2-c,#332f21
black-3-c,#212721
black-4-c,#31261d
black-5-c,#3e2b2e
black-6-c,#101820
black-7-c,#3d3935
yellow-c,#fedd00
yellow-012-c,#ffd700
orange-021-c,#fe5000
warm-red-c,#f9423a
red-032-c,#ef3340
rubine-red-c,#ce0058
